Amp, Phaseshift, Time, Vd, Vr, VL, VC
0.405435,372.09,3.19084e-005,1.60748,-0.92326,7.58953,-5.30046
0.405435,372.09,3.20611e-005,1.76336,-0.86229,7.98707,-5.58237
0.405435,372.09,3.22137e-005,1.91227,-0.798497,8.35693,-5.84566
0.405435,372.09,3.23664e-005,2.05364,-0.732101,8.6978,-6.08948
0.405435,372.09,3.25191e-005,2.18691,-0.663334,9.00849,-6.31302
0.405435,372.09,3.26718e-005,2.31154,-0.592434,9.28789,-6.51557
0.405435,372.09,3.28244e-005,2.42705,-0.519647,9.53505,-6.69646
0.405435,372.09,3.29771e-005,2.53298,-0.445227,9.74909,-6.85513
0.405435,372.09,3.31298e-005,2.62892,-0.369431,9.92928,-6.99108
0.405435,372.09,3.32824e-005,2.71448,-0.292523,10.075,-7.10388
0.405435,372.09,3.34351e-005,2.78933,-0.214769,10.1857,-7.1932
0.405435,372.09,3.35878e-005,2.85317,-0.13644,10.2611,-7.25878
0.405435,372.09,3.37405e-005,2.90575,-0.0578062,10.301,-7.30044
0.405435,372.09,3.38931e-005,2.94686,0.0208588,10.3051,-7.31809
0.405435,372.09,3.40458e-005,2.97634,0.099283,10.2736,-7.31172
0.405435,372.09,3.41985e-005,2.99408,0.177195,10.2065,-7.28141
0.405435,372.09,3.43511e-005,3,0.254327,10.1042,-7.2273
0.405435,372.09,3.45038e-005,2.99408,0.330411,9.96706,-7.14965
0.405435,372.09,3.46565e-005,2.97634,0.405187,9.79558,-7.04876
0.405435,372.09,3.48092e-005,2.94686,0.478396,9.59043,-6.92504
0.405435,372.09,3.49618e-005,2.90575,0.549788,9.35239,-6.77896
0.405435,372.09,3.51145e-005,2.85317,0.619119,9.08234,-6.61109
0.405435,372.09,3.52672e-005,2.78933,0.686152,8.7813,-6.42204
0.405435,372.09,3.54198e-005,2.71448,0.750659,8.45037,-6.21253
0.405435,372.09,3.55725e-005,2.62892,0.81242,8.09079,-5.98332
0.405435,372.09,3.57252e-005,2.53298,0.871229,7.70389,-5.73525
0.405435,372.09,3.58779e-005,2.42705,0.926886,7.29108,-5.46923
0.405435,372.09,3.60305e-005,2.31154,0.979205,6.85388,-5.18621
0.405435,372.09,3.61832e-005,2.18691,1.02801,6.39391,-4.88722
0.405435,372.09,3.63359e-005,2.05364,1.07315,5.91285,-4.57332
0.405435,372.09,3.64885e-005,1.91227,1.11447,5.41244,-4.24564
0.405435,372.09,3.66412e-005,1.76336,1.15183,4.89453,-3.90535
0.405435,372.09,3.67939e-005,1.60748,1.18512,4.361,-3.55364
0.405435,372.09,3.69466e-005,1.44526,1.21423,3.81378,-3.19177
0.405435,372.09,3.70992e-005,1.27734,1.23908,3.25488,-2.82102
0.405435,372.09,3.72519e-005,1.10437,1.25958,2.68631,-2.44267
0.405435,372.09,3.74046e-005,0.927051,1.27569,2.11014,-2.05807
0.405435,372.09,3.75573e-005,0.74607,1.28736,1.52844,-1.66854
0.405435,372.09,3.77099e-005,0.562144,1.29456,0.943324,-1.27545
0.405435,372.09,3.78626e-005,0.376,1.29729,0.356892,-0.880168
0.405435,372.09,3.80153e-005,0.188372,1.29554,-0.228747,-0.48405
0.405435,372.09,3.81679e-005,7.16598e-015,1.28934,-0.81149,-0.0884652
0.405435,372.09,3.83206e-005,-0.188372,1.27874,-1.38925,0.305228
0.405435,372.09,3.84733e-005,-0.376,1.26378,-1.95997,0.695683
0.405435,372.09,3.8626e-005,-0.562144,1.24453,-2.52161,1.08157
0.405435,372.09,3.87786e-005,-0.74607,1.22108,-3.07217,1.46158
0.405435,372.09,3.89313e-005,-0.927051,1.19352,-3.60971,1.83443
0.405435,372.09,3.9084e-005,-1.10437,1.16198,-4.13232,2.19886
0.405435,372.09,3.92366e-005,-1.27734,1.12657,-4.63818,2.55366
0.405435,372.09,3.93893e-005,-1.44526,1.08745,-5.1255,2.89765
